ID	EntityName	DisplayName	Health Type	AddressLine	Location	City	State	PhoneNumbers	Email	Description	Latitude	Longitude
11	Policlinica REGIONAL DA ENGENHOCA DR. RENATO SILVA	POLICLÍNICA REGIONAL DE ENGENHOCA	Policlinica	Avenida João Brasil, s/nº	Engenhoca	Niterói	Rio de Janeiro	2628-8047; 3603-8874	prengenhoca@saude.niteroi.rj.gov.br; 	Odontologia, Endocrinologia, Nutrição, Dermatologia, Alergista, Fonoaudiologia, Fisioterapia, Assistência Social, Infectologia, Ortopedia, Geriatria, Neurologia, Cardiologista, Teste do Pezinho e Orelhinha, Urologista, Psicologia, Hanseníase, DST, Hiperdia e Tuberculose. 		
12	Policlinica COMUNITÁRIA ILHA DA CONCEIÇÃO 	Policlinica COMUNITÁRIA ILHA DA CONCEIÇÃO 	Policlinica	Rua Jornalista Sardo Filho, 196	Ilha da Conceição	Niterói	Rio de Janeiro	2620-6671; 2620-5333	pcilha@saude.niteroi.rj.gov.br; 	Odontologia, Nutrição, Cardiologista, Endocrinologia, Fonoaudiologia, Neurologia, Vacinas básicas, Teste do Pezinho , Eletrocardiograma, Farmácia, Teste de Investigação de Gravidez (TIG), Psicologia.		
13	Policlinica COMUNITÁRIA DE JURUJUBA AURELINO BARCELLOS	Policlinica COMUNITÁRIA DE JURUJUBA	Policlinica	Av. Carlos Ermelindo Marins s/nº	Jurujuba	Niterói	Rio de Janeiro	2704-9638; 2704-9668	pcjurujuba@saude.niteroi.rj.gov.br; 	Odontologia, Nutrição, Cardiologia, Endocrinologia, Dermatologia, Psicologia, Neurologia, Alergista, Reumatologia, Fisioterapia, Vacinas Básicas, Exame do Pezinho, Eletrocardiograma, RX Dentário, BCG, Terapia Ocupacional, Fonoaudiologia.		
14	Policlinica COMUNITÁRIA DO CANTAGALO PROFESSOR BARROS TERRA	Policlinica COMUNITÁRIA DO CANTAGALO	Policlinica	Rua Alcebíades Pinto, s/nº	Cantagalo	Niterói	Rio de Janeiro	2616-6608	pccantagalo@saude.niteroi.rj.gov.br; 	Consultas básicas (Clínica Médica, Pediatria, Ginecologia), Odontologia, Nutrição, Teste de Investigação de Gravidez (TIG), Terapia Ocupacional, Fonoaudiologia, Psicólogo, Teste do Pezinho, BCG, Farmácia, Vacinas Básicas, Homeopatia, Saúde da Gestante, Hiperdia, Sisvon. 		
15	Policlinica DE ESPECIALIDADES EM ATENÇÃO A SAÚDE DA MULHER MALÚ SAMPAIO		Policlinica	Rua Visconde de Uruguai, 531	Centro	Niterói	Rio de Janeiro	2621-2302; 2621-1109 (fax); 2621-8185 (SAU)	pems@saude.niteroi.rj.gov.br; 	Ultra de Mama, obstétrica, Patologia Cervical e Mamária, Infertilidade Conjugal, Obstetrícia de alto risco, Cirurgia Ambulatorial de  Patologia Cervical, Fisioterapia de apoio a pacientes mastectomizadas, Nucleo de Atenção Especial a Criança e ao Adolescente, Psicologia, Assistente social, Laboratório de Copocitopatologia.	-22.893847	-43.122172
16	Policlinica DE ESPECIALIDADES DR. SYLVIO PICANÇO		Policlinica	Av. Amaral Peixoto, 169	Centro	Niterói	Rio de Janeiro	2719-1699; 2719-3255; 2620-0486 (fax)	pesp@saude.niteroi.rj.gov.br; 	E.C.C, Eco cardiograma, Eletro encefalograma, Mamografia, Cardiologia, Serviço de Atendimento Auditivo (SASA), Fonoaudiologia, Otorrino, Farmácia, Psicologia, Assistente Social, Neurologia, Pneumologia, Endócrino, Angiologia, Gastroenterologia, Fisioterapia, Dermatologia, Proctologia, Hematologia, Oftalmologia, Acupuntura.	-22.893462	-43.122408
17	UNIDADE DE URGÊNCIA MÁRIO MONTEIRO		Urgencia e Emergencia	Estrada Francisco da Cruz Nunes s/nº	Piratininga	Niterói	Rio de Janeiro	2619-2613	direcao.umam@saude.niteroi.rj.gov.br; admin.umam@saude.niteroi.rj.gov.br	Capacidade para o atendimento e estabilização de casos graves. Atendimento a acidentados. Não é Unidade Hospitalar, mas sim, pré-hospitalar. Urgências 24 horas.	-22.929031	-43.063855
18	UPA 24h NITEROÍ	UPA DO FONSECA	Urgencia e Emergencia	Rua Sá Barreto nº 107	Fonseca	Niterói	Rio de Janeiro	2625-7807; 2625-7721		Urgências 24 horas.	-22.883429	-43.082718
19	SPA 1 - SERVIÇO DE PRONTO ATENDIMENTO DO LARGO DA BATALHA	SPA LARGO DA BATALHA	Urgencia e Emergencia	Rua Vereador Armando Ferreira, 30	Largo da Batalha	Niterói	Rio de Janeiro	2616-3633; 2616-0130		Urgências 24 horas.		
20	SPA 2 - SERVIÇO DE PRONTO ATENDIMENTO DA ENGENHOCA	SPA ENGENHOCA	Urgencia e Emergencia	Avenida Professor João Brasil, S/Nº	Engenhoca	Niterói	Rio de Janeiro	3603-8874; 2628-8047		Urgências 24 horas.		
21	HOSPITAL ESTADUAL AZEVEDO LIMA		Urgencia e Emergencia	Rua Teixeira Freitas, 30	Fonseca	Niterói	Rio de Janeiro	2299-9034		Emergências 24 horas.	-22.880588	-43.078637
22	JESUS MONTAÑEZ - PMF PALÁCIO	PMF PALÁCIO	Medico de Familia	Rua 11 de Agosto, nº 4	Ingá	Niterói	Rio de Janeiro	2722-0146	pmfinga@saude.niteroi.rj.gov.br; 			
23	CÉLIA SANCHEZ - PMF ILHA DA CONCEIÇÃO	PMF ILHA DA CONCEIÇÃO	Medico de Familia	Rua Jornalista Sardo Filho, 196	Ilha da Conceição	Niterói	Rio de Janeiro	2620-6671; 2620-5333	pmfilha@saude.niteroi.rj.gov.br; 			
24	CAMILO CIENFUEGOS - PMF VIRADOURO	PMF VIRADOURO	Medico de Familia	Rua Nsa. Senhora das Graças, 474 	Viradouro	Niterói	Rio de Janeiro	2711-8369	pmfviradouro@saude.niteroi.rj.gov.br; 			
25	JOSÉ ANTONIO ECHEVERRIA BIANCHI - PMF SOUZA SOARES	PMF SOUZA SOARES	Medico de Familia	Rua Lions Club, 37	Santa Rosa	Niterói	Rio de Janeiro	3602-0083	pmfssoares@saude.niteroi.rj.gov.br; 			
26	CARLOS J. FINLAY - PMF VITAL BRAZIL	PMF VITAL BRAZIL	Medico de Familia	Rua João da Lossi (Travessa F) nº 8	Vital Brasil	Niterói	Rio de Janeiro	2610-1904	pmfvbrazil@saude.niteroi.rj.gov.br; 			
27	FRANK PAÍS GARCIA - PMF CAVALÃO	PMF CAVALÃO	Medico de Familia	Alameda Paris s/nº (Morro do Cavalão)	São Francisco	Niterói	Rio de Janeiro	2611-9570	pmfcavalao@saude.niteroi.rj.gov.br; 			
28	ABEL SANTAMARIA - PMF PREVENTÓRIO I	PMF PREVENTÓRIO I	Medico de Familia	Travessa Carmita s/nº (Preventório)	Charitas	Niterói	Rio de Janeiro	2715-4313	pmfpreventorio1@saude.niteroi.rj.gov.br; 			
29	CALIXTO GARCIA - PMF PREVENTÓRIO II	PMF PREVENTÓRIO II	Medico de Familia	Av.Quintino Bocaiúva s/nº	Charitas	Niterói	Rio de Janeiro	3701-0161	pmfpreventorio2@saude.niteroi.rj.gov.br; 			
30	MÁRIO MUNHOZ MONROE - PMF JURUJUBA (Carcarejo)	PMF JURUJUBA	Medico de Familia	Av.Carlos Ermelindo Marins s/nº	Jurujuba	Niterói	Rio de Janeiro	2704-9638; 2704-9668				
31	JOSÉ SUÁREZ BLANCO - PMF JONATHAS BOTELHO	PMF JONATHAS BOTELHO	Medico de Familia	Trav. Jonathas Botelho, 133	Cubango	Niterói	Rio de Janeiro	2710-6367	pmfjbotelho@saude.niteroi.rj.gov.br; 			
32	PMF LAGOINHA 	PMF LAGOINHA 	Medico de Familia	Av. Colônia s/nº	Cubango	Niterói	Rio de Janeiro	2625-9467	pmflagoinha@saude.niteroi.rj.gov.br; 			
33	JÚLIO DIAZ GONZALEZ - PMF LEOPOLDINA	PMF LEOPOLDINA	Medico de Familia	Rua George Allan s/nº, Largo dos Barradas	Barreto	Niterói	Rio de Janeiro	2624-0017	pmfleopoldina@saude.niteroi.rj.gov.br; 			
34	CARLOS RAFAEL RODRIGUES - PMF MARÍTIMOS	PMF MARÍTIMOS	Medico de Familia	Av. Machado, s/nº	Barreto	Niterói	Rio de Janeiro	3703-3265	pmfmaritimos@saude.niteroi.rj.gov.br; 			
35	JORGE LUIZ CAMACHO RODRIGUES - PMF MARUÍ	PMF MARUÍ	Medico de Familia	Rua Monsenhor Raeder, 151	Barreto	Niterói	Rio de Janeiro	3714-2173	pmfmarui@saude.niteroi.rj.gov.br; 			
36	ANTÔNIO LÔPEZ - PMF NOVA BRASÍLIA 	PMF NOVA BRASÍLIA 	Medico de Familia	Rua Professor João Brasil, 1726	Engenhoca	Niterói	Rio de Janeiro	3706-7519	pmfnbrasilia1@saude.niteroi.rj.gov.br; 			
37	WILMA ESPIN - PMF VILA IPIRANGA	PMF VILA IPIRANGA	Medico de Familia	Rua Tenente Osório, 73	Fonseca	Niterói	Rio de Janeiro	2625-3821				
38	HAIDÉE SANTAMARIA I - PMF CANTAGALO 	PMF CANTAGALO 	Medico de Familia	Av. Nelson de Oliveira e Silva s/nº	Cantagalo	Niterói	Rio de Janeiro	2616-5037	pmfcantagalo1@saude.niteroi.rj.gov.br; 			
39	SALVADOR ALLENDE - PMF ATALAIA	PMF ATALAIA	Medico de Familia	Rua Padre José Euger	Atalaia	Niterói	Rio de Janeiro	2618-7616	pmfatalaia@saude.niteroi.rj.gov.br; 			
40	DR. WILSON DE OLIVEIRA - PMF ITITIOCA	PMF ITITIOCA	Medico de Familia	Rua Vila Costa Monteiro s/nº	Ititioca	Niterói	Rio de Janeiro	2610-0852	pmfititioca@saude.niteroi.rj.gov.br; 			
41	WILLIAN SOLLER I - PMF ENGENHO DO MATO 	PMF ENGENHO DO MATO 	Medico de Familia	Estrada Irene Lopes Sodré s/nº	Engenho do Mato	Niterói	Rio de Janeiro	2709-5222	pmfemato1@saude.niteroi.rj.gov.br; 			
42	ERNESTO CHE GUEVARA I - PMF CAFUBÁ I	PMF CAFUBÁ I	Medico de Familia	Av.Raúl de Oliveira Rodrigues, S/Nº 	Cafubá	Niterói	Rio de Janeiro	2619-0757	pmfcafuba1@saude.niteroi.rj.gov.br; 			
43	ERNESTO CHE GUEVARA II - PMF CAFUBÁ II	PMF CAFUBÁ II	Medico de Familia	Rua Vereador Luiz Erthal, Lt. 05, Qd. 69 	Cafubá	Niterói	Rio de Janeiro	2619-5268	pmfcafuba2@saude.niteroi.rj.gov.br; 			
44	ALBERTO RICARDO HATIN - PMF CAFUBÁ III	PMF CAFUBÁ III	Medico de Familia	Rua Manoel Pacheco de Carvalho 107	Piratininga	Niterói	Rio de Janeiro	2709-4374 	pmfcafuba3@saude.niteroi.rj.gov.br; 			
45	CTE. MANOEL PIÑEIRO LOZADA - PMF MARAVISTA	PMF MARAVISTA	Medico de Familia	Rua Astor da Costa Menezes, S/Nº 	Maravista	Niterói	Rio de Janeiro	2709-0360	pmfmaravista@saude.niteroi.rj.gov.br; 			
46	PMF COLONIA	PMF COLONIA	Medico de Familia	Praia de Itaipu	Itaipu	Niterói	Rio de Janeiro	2609-4332	pmfcolonia@saude.niteroi.rj.gov.br; 			
47	DR. OMAR MARINHO VIEIRA - PMF ALARICO DE SOUZA	PMF ALARICO DE SOUZA	Medico de Familia	Estrada Alarico de Souza, s/nº	Santa Rosa	Niterói	Rio de Janeiro					
48	RAUL CARLOS PARETO JR. - PMF BERNARDINO	PMF BERNARDINO	Medico de Familia	Rua Sá Barreto, nº 107 (ao lado da UPA)	Fonseca	Niterói	Rio de Janeiro					
49	UBS CENTRO DR. EDUARDO IMBASSAY 	UBS CENTRO	Posto de Saude	Rua Visconde de Uruguai, 531 3o andar	Centro	Niterói	Rio de Janeiro	2620-8226; 2612-8183	ubscentro@saude.niteroi.rj.gov.br; 	Consultas básicas (Clínica Médica, Pediatria, Ginecologia), Odontologia, Nutrição, Psicologia, Fonoaudiologia , Serviço Social, Vacinas básicas, Teste do Pezinho, Farmácia, Teste de Investigação de Gravidez (TIG), BCG, Hiperdia, Homeopatia e Puericultura.  		
50	UBS MORRO DO ESTADO DR. MARIO PARDAL 	UBS MORRO DO ESTADO	Posto de Saude	Rua Araujo Pimenta s/nº (Morro do Estado)	Centro	Niterói	Rio de Janeiro	2622-1010	ubsestado@saude.niteroi.rj.gov.br; 	Consultas básicas (Clínica Médica, Pediatria, Ginecologia), Odontologia, Nutrição, Serviço Social, Vacinas básicas, Teste do Pezinho, Teste de Investigação de Gravidez (TIG), Farmácia, BCG e Teste do Olhinho.  		
51	UBS SANTA BÁRBARA ADELINO DE MENDONÇA E SILVA 	UBS SANTA BÁRBARA	Posto de Saude	Rua Jandira Pereira, 625	Santa Bárbara	Niterói	Rio de Janeiro	3603-8874; 2628-8047	ubsengenhoca@saude.niteroi.rj.gov.br; 	Consultas básicas (Clínica Médica, Pediatria, Ginecologia), Odontologia, Nutrição, Núcleo de Saude Mental, Grupo Hipertensão e Diabetes, Saúde da Gestante, Serviço Social, Vacinas básicas, Teste do Pezinho , Eletrocardiograma , Farmácia, Fonoaudiologia, Teste de Investigação de Gravidez (TIG), Programas de Tabagismo, Adolescente, Idoso, Saúde da Mulher, Saúde Bucal, Imunização e Teste da Orelhinha.  		
52	UBS – BARRETO – Dr. João da Silva Vizella 	UBS BARRETO	Posto de Saude	Rua Luiz Palmier, 726	Barreto	Niterói	Rio de Janeiro	2719-0141; 2719-6861	ubsbarreto@saude.niteroi.rj.gov.br; 	Consultas básicas (Clínica Médica, Pediatria, Ginecologia), Nutrição, Cardiologia, Serviço Social, Vacinas Básicas, Teste do Pezinho, Eletrocardiograma, Laboratório, Farmácia, Fonoaudiologia, Planejamento familiar, Grupo de Hipertensão e Diabetes, Teste de Investigação de Gravidez (TIG), PPD, Grupo de Gestante, Psicologia, Terapeuta Ocupacional, Infectologista, Tabagismo, Odontologia.  		
53	UBS – BALDEADOR DEPUTADO JOSÉ SALLY  	UBS BALDEADOR	Posto de Saude	Lot.Bento Pestana s/nº (Morro do Castro)	Baldeador	Niterói	Rio de Janeiro	2624-1224; 2722-3761	ubsbaldeador@saude.niteroi.rj.gov.br; 	Consultas básicas (Clínica Médica, Pediatria, Ginecologia), Odontologia, Nutrição, Psicologia, Serviço Social, Vacinas básicas, Teste do Pezinho , Farmácia, Teste de Investigação de Gravidez (TIG).		
54	UBS PIRATININGA DOM LUIZ ORIONE	UBS PIRATININGA DOM LUIZ	Posto de Saude	Av. dos Pescadores (Av. 4 Lotes 2,3 e 4)	Piratininga	Niterói	Rio de Janeiro	2618-2654 	ubspiratininga@saude.niteroi.rj.gov.br; 	Consultas básicas (Clínica Médica, Pediatria, Ginecologia), Odontologia, Nutrição, Psicologia, Fonoaudiologia, Serviço Social, Vacinas Básicas , Teste do Pezinho , Farmácia, Teste de Investigação de Gravidez (TIG), Teste do Olhinho e Triagem Auditiva.  		
55	UBS – VARZEA DAS MOÇAS DR. TOBIAS TOSTES MACHADO 	UBS VARZEA DAS MOÇAS	Posto de Saude	Estrada Velha de Maricá s/nº	Várzea das Moças	Niterói	Rio de Janeiro	3602-8057	ubsvmocas@saude.niteroi.rj.gov.br; 	Consultas básicas (Clínica Médica, Pediatria, Ginecologia), Odontologia, Homeopatia, Nutrição, Serviço Social, Vacinas básicas, Teste do Pezinho, Farmácia, Fonoaudiologia, Teste de Investigação de Gravidez (TIG), Programa de Tabagismo e Teste da Orelhinha.  		
56	UBS – ENGENHOCA – Policlinica Regional Norte II Dr.Renato Silva	UBS ENGENHOCA	Posto de Saude	Rua Cel. Guimarães, 724	Engenhoca	Niterói	Rio de Janeiro	3603-8874 – 2628-8047	ubsengenhoca@saude.niteroi.rj.gov.br	Consultas básicas (Clínica Médica, Pediatria, Ginecologia), Odontologia, Nutrição, Núcleo de Saude Mental, Grupo Hipertensão e Diabetes, Saúde da Gestante, Serviço Social, Vacinas básicas, Teste do Pezinho , Eletrocardiograma , Farmácia, Fonoaudiologia, Teste de Investigação de Gravidez (TIG), Programas de Tabagismo, Adolescente, Idoso, Saúde da Mulher, Saúde Bucal, Imunização e Teste da Orelhinha.		
57	CAPS Casa do Largo		Saude Mental	R. Nilo de Freitas, 41	Largo da Batalha	Niterói	Rio de Janeiro	2616-5612/2718-0229		Atende os bairros Matapaca, Mª Paula, Jacaré, Ititioca, Lgo. da Batalha, Vila Progresso, Badú, Pendotiba, Várzea das Moças, Rio do Ouro, Sapê, Piratininga, Cafubá, Itaipu, Cantagalo, Maceió, Itacoatiara, Muriqui, Camboinhas, Engenho do Mato, Viçoso Jardim.		
58	CAPS Herbert de Souza		Saude Mental	R. Marques de Olinda, 104	Centro	Niterói	Rio de Janeiro	2722-4147/2622-1533		Atende os bairros do Centro, São Domingos, Morro do Estado, Ilha da Conceição, São Lourenço, Sta. Bárbara, Ponta d’Areia, Bairro de Fátima, Ingá, Caramujo, Fonseca (até a rua 22 de Novembro), Vila Pereira Carneiro.		
59	CAPS AD Alameda		Saude Mental	Alameda São Boaventura, 129	Fonseca	Niterói	Rio de Janeiro	2718-5803		Referência para todo o município de Niterói.		
60	CAPSi Monteiro Lobato		Saude Mental	R. Tiradentes, 18	Ingá	Niterói	Rio de Janeiro	2620-0318/2621-6598		Referência para todos os bairros de Niterói.		
61	Amb. Engenhoca		Saude Mental	R. Pça Vital Brasil s/nº	Vital Brasil	Niterói	Rio de Janeiro	2711-2366/2710-9176/2610-8975		Atende os bairros Sta. Rosa, Vital Brasil, Viradouro, Pé Pequeno, Cubango, Icaraí, Ingá, Boa Viagem, São Domingos, Gragoatá.		
62	Amb. Carlos Antônio da Silva		Saude Mental	Av. Jansen de Melo s/nº	Centro	Niterói	Rio de Janeiro	2719-0050/2717-1426		Atende os bairros Centro, Bairro de Fátima, Ilha da Conceição, Vila Pereira Carneiro, Ponta d’Areia, Portugal Pequeno, São Lourenço, Santana (Ponto Cem Réis), Fonseca (até a rua 22 de Novembro), Morro do Estado, Caramujo, Sta. Bárbara.		
63	Amb. Jurujuba		Saude Mental	Av. Quintino bocaiúva s/nº	Charitas	Niterói	Rio de Janeiro	2714-8856  Ramal: 223		Atende Cascarejo, Cachoeira, Morro do Cavalão, São Francisco, Preventório, Charitas, Grota do Surucucu,Jurujuba.		
64	Amb. Pendotiba		Saude Mental	R. Miguel Pereira Sarmento, 3/204	Pendotiba	Niterói	Rio de Janeiro	2616-1456		Atende Matapaca, Mª Paula, Jacaré, Ititioca, Lgo. da Batalha, Vila Progresso, Badú, Pendotiba, Várzea das Moças, Rio do Ouro, Sapê, Piratininga, Cafubá, Itaipu, Cantagalo, Maceió, Itacoatiara, Muriqui, Camboinhas, Engenho do Mato, Viçoso Jardim.		
65	R. Terapêutica Pendotiba		Saude Mental	Est. Caetano Monteiro, 253	Pendotiba	Niterói	Rio de Janeiro	2616-8722		Atende todo o municipio		
66	R. Terapêutica Fonseca		Saude Mental	R. Magnólia Brasil, 55 casa 1	Fonseca	Niterói	Rio de Janeiro	2626-2231		Atende todo o municipio		
67	Hospital Universitário Antônio Pedro		Hospital	Rua Marques de Paraná, 303	Centro	Niterói	Rio de Janeiro	2629-9064/2629-9454/2629-9000/2629-9001		Atende somente casos que demandem serviços de alta complexidade, referenciados por outras unidades de saúde (inclusive em emergência).	-22.895061	-43.112695
68	Tayssa Ermida Alves - PMF Viçoso Jardim	PMF Viçoso Jardim	Medico de Familia	Estrada Viçoso Jardim, 468	Viçoso Jardim	Niterói	Rio de Janeiro			Inaugurada em 2013, a unidade oferece serviços de atenção à saúde da criança e do adolescente, saúde bucal, saúde da mulher e do homem, saúde do idoso e vigilância em saúde.	-22.893231	-43.083036
